Grupo,ID_Ticket,Modulo,Descripcion
Grupo 1,M-01,main.py,La variable root se inicializa como None antes de usarla
Grupo 1,M-02,main.py,La geometría de la ventana usa espacio en lugar de 'x'
Grupo 1,M-03,main.py,Importación incorrecta de LoginView (falta prefijo views.)
Grupo 1,M-04,main.py,Importación incorrecta de ClienteView (vista no existe)
Grupo 1,M-05,main.py,Se asigna usuario_actual = nombre y usuario_nombre = id (invertido)
Grupo 1,DB-01,database.py,Puerto de base de datos incorrecto (3307 en lugar de 3306)
Grupo 1,DB-02,database.py,No hay manejo específico de excepciones de MySQL
Grupo 1,DB-03,database.py,La función cerrar_conexion no verifica si conexion existe
Grupo 1,DB-04,database.py,No se retorna información del error al llamador
Grupo 1,DB-05,database.py,Falta función para ejecutar consultas genéricas
Grupo 1,SEC-01,security.py,Se usa MD5 para hash en lugar de SHA-256 (inseguro)
Grupo 1,SEC-02,security.py,Patrón de validación de email incompleto
Grupo 1,SEC-03,security.py,Código 2FA de solo 4 dígitos en lugar de 6
Grupo 1,SEC-04,security.py,No se valida el email antes de enviar código 2FA
Grupo 1,SEC-05,security.py,La función enviar_codigo_2fa no retorna estado de envío
Grupo 1,USR-01,usuario.py,Consulta SQL vulnerable a inyección en crear()
Grupo 1,USR-02,usuario.py,No se valida longitud mínima de contraseña
Grupo 1,USR-03,usuario.py,No se maneja correctamente el registro de repartidores
Grupo 1,USR-04,usuario.py,crear() no retorna el ID del usuario creado
Grupo 1,USR-05,usuario.py,Consulta SQL vulnerable a inyección en login()
Grupo 1,PRO-01,producto.py,obtener_todos() no ordena los resultados alfabéticamente
Grupo 1,PRO-02,producto.py,No maneja correctamente cuando no hay productos
Grupo 1,PRO-03,producto.py,obtener_por_restaurante() no valida restaurante_id
Grupo 1,PRO-04,producto.py,crear() permite precios negativos
Grupo 1,CAR-01,carrito.py,agregar() no valida que cantidad sea positiva
Grupo 1,CAR-02,carrito.py,No hay límite máximo de cantidad por producto
Grupo 1,CLI-01,cliente_view.py,No hay barra de búsqueda de productos
Grupo 1,CLI-02,cliente_view.py,No hay filtros por categoría de productos
Grupo 2,M-06,main.py,Comparación de tipo incorrecta (cliente sin comillas)
Grupo 2,M-07,main.py,El método logout no limpia todas las variables de sesión
Grupo 2,M-08,main.py,Se llama a root.run() en lugar de root.mainloop()
